code,current,name,name_short,name_tv,gender,function,country_code,country,country_long,nationality,nationality_long,nationality_code,height,weight,disciplines,events,birth_date,birth_place,birth_country,residence_place,residence_country,nickname,hobbies,occupation,education,family,lang,coach,reason,hero,influence,philosophy,sporting_relatives,ritual,other_sports
1535186,TRUE,MARTINEZ RAMIREZ Miguel Angel,MARTINEZ RAMIREZ M,Miguel Angel MARTINEZ RAMIREZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,178,0,['Boxing'],"[""Men's 63.5kg""]",3/17/01,DURANGO,Mexico,,Mexico,Piolin,,,,,Spanish,,,,,,,,
1535187,TRUE,VERDE ALVAREZ Marco Alonso,VERDE ALVAREZ MA,Marco Alonso VERDE ALVAREZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,180,0,['Boxing'],"[""Men's 71kg""]",2/11/02,MAZATLAN,Mexico,MAZATLAN,Mexico,Green,,,,"Father, Manuel",Spanish,Personal: Radames Hernandez (MEX),"Played baseball for seven or eight years, before following his father Manuel into boxing - even though Manuel wanted Marco to stick with a baseball glove rather than switch to boxing gloves",,,,"Father, Manuel Verde (boxing), competed for Mexico in the men's light heavyweight division at the Barcelona 1992 Olympic Games",,
1535191,TRUE,GONZALEZ Alegna,GONZALEZ A,Alegna GONZALEZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,158,0,['Athletics'],"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",1/2/99,OJINAGA,Mexico,MEXICO CITY,Mexico,,,"Athlete, serves in the navy","Graduated in 2021 with a degree in Sports Science from Universidad La Salle, Mexico City (MEX). Plans to pursue a Master's degree in Political Science","Mother, Yadira. Grandmother, Angela",Spanish,"Personal: Ignacio Zamudio (MEX), 1996 Olympian",,"Race walker Raul Gonzalez (MEX), two-time 1984 Olympic medallist (50km gold, 20km silver), four-time Olympian (1972, 1976, 1980, 1984), three-time world race walking cup 50km champion (1977, 1981, 1983) and his coach, 1996 Olympian Ignacio Zamudio (MEX)","Her mother and grandmother. ""I do race walking for them. I call them both mom."" (eleconomista.com.mx, 10 Mar 2021)",,,,
1535195,TRUE,LOPEZ Jesus Tonatiu,LOPEZ JT,Jesus Tonatiu LOPEZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,190,0,['Athletics'],"[""Men's 800m""]",8/2/97,HERMOSILLO,Mexico,HERMOSILLO,Mexico,Tona,"Reading, listening to music, puzzles",Athlete,"Sport Studies at University of Sonora (Hermosillo, MEX)","Father, Ramon Enrique. Mother, Claudia. Three brothers",Spanish,Personal: Conrado Soto (MEX),"Began playing American football at an early age. His coach saw he had potential for athletics and advised his family to enrol him in the sport. ""I didn't like it at all. I was around eight or nine and I didn't want to go to training because I'd rather go with my friends to play video games. But things changed."" (myInfo)",His parents,His family,"""Quit now and every battle will have been in vain."" (myInfo)",,,
1535199,TRUE,PORTILLO Erick,PORTILLO E,Erick PORTILLO,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,190,0,['Athletics'],"[""Men's High Jump""]",10/5/00,CHIHUAHUA,Mexico,MEXICO CITY,Mexico,El flaco (the slim one),,Athlete,,"Father, Ramon. Mother, Janet. Has two brothers",Spanish,Personal: Lazaro Paz (CUB),,,,,"Brother Jair (athletics), 2024 National Championships high jump silver medallist",,
1535201,TRUE,MUNOZ Uziel,MUNOZ U,Uziel MUNOZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,185,0,['Athletics'],"[""Men's Shot Put""]",9/8/95,NUEVO CASAS GRANDES,Mexico,MONTERREY,Mexico,,,Athlete,Graduated with a Bachelor's degree in Business Administration from the Autonomous University of Ciudad Juarez (MEX),"Partner, Jazmin Jara. Son, Uziel. Brother Mateo (died in 2016)",Spanish,Personal: Alejandro Laberdesque (CUB),,,,,,,
1535202,TRUE,del REAL Diego,del REAL D,Diego del REAL,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,185,0,['Athletics'],"[""Men's Hammer Throw""]",3/6/94,MONTERREY,Mexico,MONTERREY,Mexico,The Cat. El Thor Mexicano (the Mexican Thor),,Athlete,"Nuevo Leon State Autonomous University (San Nicolas de los Garza, MEX)","Father, Eduardo. Has three siblings","English, Spanish",Personal: Alejandro Laberdesque (CUB),"“I did not understand the link between American football and hammer throw, but I started to train. My coach made me love this uncommon specialty (hammer). I decided to stay when I weighed up my options. I knew that to get into the NFL (professional American football), many things were needed and they did not depend on my physical capacity. This one (hammer) is an individual sport, and the responsibility is mine. I have control over my results.” (proceso.com.mx, 29 Jan 2017)",,,,,,
1535203,TRUE,DOCTOR Jose Luis,DOCTOR JL,Jose Luis DOCTOR,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,175,0,['Athletics'],"[""Men's 20km Race Walk""]",6/14/96,HUIXQUILUCAN,Mexico,MEXICO CITY,Mexico,,,Athlete,,,Spanish,"Personal: Raul Gonzalez (MEX), four-time Olympian and two-time 1984 Olympic race walk medallist",,,,,,,
1535212,TRUE,MORAN Paola,MORAN P,Paola MORAN,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,169,0,['Athletics'],"[""Women's 400m""]",2/25/97,GUADALAJARA,Mexico,GUADALAJARA,Mexico,,"Reading, watching television and walking her dog. Loves tacos",Athlete,"Graduated in 2022 with a Bachelor's degree in Nutrition and General Well-being from the Monterrey Institute of Technology and Higher Education (Guadalajara, MEX)",Has four siblings,Spanish,Personal: Luis Montes Leon (MEX),"She decided to pursue a career in the sport after serving as a volunteer at the athletics competition of the 2011 Pan American Games in Guadalajara, Mexico. ""I carried the athletes' belongings and I admired them. It was so exciting. They inspired me to keep going in my sport."" (Juegos Lima 2019 YouTube channel, 7 Aug 2019)","Hurdler Sydney McLaughlin-Levrone (USA), two-time 2020 Olympic champion (400m hurdles, 4x400m relay), four-time world championship medallist (three gold, one silver)",,"""It's worth fighting for your dreams, because that's how you show yourself that you can accomplish everything you want."" (myInfo)",,,
1535214,TRUE,GALVAN Laura,GALVAN L,Laura GALVAN,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,162,0,['Athletics'],"[""Women's 5000m""]",10/5/91,LA SAUCEDA,Mexico,GUANAJUATO,Mexico,The Gazelle from La Sauceda (her hometown),"Loves chilaquiles, a Mexican breakfast dish, and listening to podcasts",Athlete,"Graduated in 2016 with a Bachelor's degree in Food Science and Industry from Kansas State University, Manhattan, KS (USA)","Father, Ramon. Mother, Andrea. Six siblings","English, Spanish",Personal: Cecilio Blancarte (MEX),,,,"""Be courageous and open-minded when trying to meet your goals and dreams. The only thing that is impossible is that which you never try."" (hoka.com, 3 Mar 2020)",,,
1535216,TRUE,CORTES Alma Delia,CORTES AD,Alma Delia CORTES,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,160,0,['Athletics'],"[""Women's 5000m""]",12/26/97,TULTITLAN,Mexico,TULTITLAN,Mexico,,,Athlete,"Graduated with a Bachelor's degree in Criminology at Centro Universitario de  Cuautitlan, Cuautitlan (MEX)",,Spanish,Personal: Martin Nunez (MEX),,Distance runner Marisol Romero (MEX),,,,,
